filepath,label,split
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\410.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\real_cifake_images\899.png,real,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\404.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\735.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\712.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\293.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\553.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\759.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\69.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\745.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\928.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\133.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\184.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\835.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\636.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\433.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\101.png,fake,val
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\188.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\170.png,fake,val
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\586.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\real_cifake_images\921.png,real,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\753.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\real_cifake_images\973.png,real,train
F:\PyTorch practice\ViT_Deepfake\data\real_cifake_images\858.png,real,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\7.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\real_cifake_images\969.png,real,val
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\628.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\791.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\209.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\226.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\49.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\222.png,fake,val
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\849.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\real_cifake_images\985.png,real,val
F:\PyTorch practice\ViT_Deepfake\data\real_cifake_images\854.png,real,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\419.png,fake,val
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\296.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\real_cifake_images\923.png,real,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\656.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\428.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\225.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\643.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\176.png,fake,val
F:\PyTorch practice\ViT_Deepfake\data\real_cifake_images\980.png,real,val
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\943.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\726.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\995.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\851.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\559.png,fake,val
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\436.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\892.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\23.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\322.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\742.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\147.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\real_cifake_images\891.png,real,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\300.png,fake,val
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\217.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\562.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\563.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\81.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\161.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\439.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\536.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\183.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\576.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\355.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\fake_cifake_images\520.png,fake,train
F:\PyTorch practice\ViT_Deepfake\data\real_cifake_images\989.png,real,train
